Time, Counts, GPS Altitude (ft), MPL Altitude (ft), Pressure (hPa), RTC Temperature (C), MPL Temperature (C), Battery Voltage
6:39:56,27,1641.36,1431.06,962.68,12,12,4.079882813
6:40:57,34,1635.53,1406.66,962.84,12.25,12,4.079882813
6:42:59,31,1639.43,1419.78,962.17,12.25,12.06,4.066992188
6:44:00,26,1636.15,1415.68,962.51,12.5,12.25,4.066992188
6:45:01,19,1638.15,1410.15,962.65,12.5,12.06,4.066992188
6:46:02,25,1641.6,1409.53,962.28,12.5,12.13,4.060546875
6:47:03,21,1640.91,1429.83,962.57,12.75,12.25,4.04765625
6:48:04,25,1642.11,1409.94,962.67,12.75,12.31,4.060546875
6:49:05,25,1640.65,1409.53,962.19,12.75,12.38,4.054101563
6:50:06,15,1635.72,1419.99,962.86,12.75,12.44,4.054101563
6:51:07,21,1644.27,1421.83,962.89,12.75,12.38,4.04765625
6:52:08,15,1642.16,1402.97,963,12.75,12.25,4.041210938
6:53:09,27,1642.5,1410.35,962.65,12.75,12.38,4.041210938
6:54:10,24,1644.05,1422.86,962.99,13,12.38,4.034765625
6:55:11,23,1664.03,1406.25,962.27,13,12.25,4.041210938
6:57:18,103,1666.36,78930.45,962.41,13,12.44,4.034765625
6:58:18,20,1892.65,78966.95,954.53,13,12.44,4.034765625
6:59:19,26,2830.61,78270.59,922.27,13,12.44,4.034765625
7:00:20,11,3613.95,75655.35,895.06,13,12.13,4.028320313
7:01:21,26,4494.95,73414.33,866.16,13,12.38,4.028320313
7:02:22,21,5376.92,71078.99,837.72,12.75,12.31,4.028320313
7:03:23,26,6267.93,68728.27,810.07,12.75,12.25,4.021875
7:04:24,14,7104.92,66408.51,784.45,12.75,12.25,4.021875
7:05:25,21,8030.28,64340.96,757.55,12.75,12.19,4.015429688
7:06:26,27,8891.82,62117.37,732.97,12.75,12.19,4.015429688
7:07:27,34,9872.02,60115.65,705.46,12.75,11.88,4.008984375
7:08:28,36,10772.63,57879.55,681.78,12.5,11.88,4.002539063
7:09:29,33,11755.24,55924.99,656.7,12.5,11.75,4.008984375
7:10:30,37,12677.64,53840.63,633.5,12.25,11.56,4.002539063
7:11:31,32,13647.4,51988.6,609.96,12.25,11.63,4.002539063
7:12:32,35,14598.78,50013.74,587.36,12,11.38,3.99609375
7:13:33,48,15596.76,48227.73,564.34,11.75,11.31,4.015429688
7:14:34,59,16580.83,46319.51,543.28,11.75,11,4.002539063
7:15:35,60,17608.13,44566.32,521.01,11.5,10.81,3.99609375
7:16:36,55,18702.41,42765.75,498.91,11.25,10.69,3.989648438
7:17:37,94,19814.41,40927.04,476.57,11,10.31,3.983203125
7:18:38,81,20751.02,39121.35,458.54,10.5,10,3.983203125
7:19:39,121,21951.59,37621.39,436.08,10.25,9.69,3.983203125
7:20:40,113,22979.47,35791.3,68.62,10,9.19,3.976757813
7:21:41,122,23784.69,34281.5,403.7,9.5,9.13,3.9703125
7:22:42,114,24758.15,33107.16,386.87,9,8.44,3.963867188
7:23:43,144,25599.78,31748.28,373.21,8.5,8.06,3.957421875
7:24:44,153,26471.66,30610.03,359.45,8,7.62,3.957421875
7:25:45,149,27163.71,29485.11,348.9,7.5,7.12,3.950976563
7:26:46,196,27851.06,28589.24,338.15,7,6.69,3.94453125
7:27:47,200,28525.37,27758.57,328.58,7,6.06,3.94453125
7:28:48,192,29257.89,26938.98,317.74,6.5,5.5,3.938085938
7:29:49,220,30055.71,26065.25,306.69,5.75,5,3.925195313
