Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
7:38:8, 28, 440.63, REMOVED FOR THIS FLIGHT, 961.55, 18.75, 18.44
7:39:9, 21, 440.00, REMOVED FOR THIS FLIGHT, 961.58, 18.75, 18.37
7:40:9, 30, 440.25, REMOVED FOR THIS FLIGHT, 961.63, 18.50, 18.25
7:41:10, 23, 441.06, REMOVED FOR THIS FLIGHT, 961.61, 18.50, 18.19
7:42:10, 21, 440.63, REMOVED FOR THIS FLIGHT, 961.58, 18.50, 18.06
7:43:11, 12, 441.13, REMOVED FOR THIS FLIGHT, 961.54, 18.25, 18.00
7:44:11, 27, 441.13, REMOVED FOR THIS FLIGHT, 961.56, 18.25, 17.94
7:45:12, 21, 441.56, REMOVED FOR THIS FLIGHT, 961.48, 18.25, 17.81
7:46:13, 27, 443.13, REMOVED FOR THIS FLIGHT, 961.39, 18.00, 17.75
7:47:13, 24, 442.44, REMOVED FOR THIS FLIGHT, 961.40, 18.00, 17.69
7:48:14, 24, 441.81, REMOVED FOR THIS FLIGHT, 961.49, 18.00, 17.62
7:49:14, 31, 441.25, REMOVED FOR THIS FLIGHT, 961.47, 18.00, 17.56
7:50:15, 21, 441.63, REMOVED FOR THIS FLIGHT, 961.51, 17.75, 17.56
7:51:15, 23, 441.31, REMOVED FOR THIS FLIGHT, 961.47, 17.75, 17.50
7:52:16, 36, 441.38, REMOVED FOR THIS FLIGHT, 961.48, 17.75, 17.44
7:53:16, 23, 441.13, REMOVED FOR THIS FLIGHT, 961.54, 17.75, 17.37
7:54:17, 17, 440.75, REMOVED FOR THIS FLIGHT, 961.55, 17.50, 17.31
7:55:17, 33, 440.38, REMOVED FOR THIS FLIGHT, 961.58, 17.50, 17.25
7:56:18, 34, 440.63, REMOVED FOR THIS FLIGHT, 961.57, 17.50, 17.19
7:57:18, 20, 440.81, REMOVED FOR THIS FLIGHT, 961.58, 17.50, 17.19
7:58:19, 38, 441.00, REMOVED FOR THIS FLIGHT, 961.54, 17.50, 17.12
7:59:19, 28, 440.81, REMOVED FOR THIS FLIGHT, 961.56, 17.50, 17.12
8:0:20, 26, 440.56, REMOVED FOR THIS FLIGHT, 961.53, 17.50, 17.06
8:1:20, 18, 440.38, REMOVED FOR THIS FLIGHT, 961.58, 17.25, 17.06
8:2:21, 26, 440.63, REMOVED FOR THIS FLIGHT, 961.60, 17.25, 17.00
8:3:22, 29, 441.06, REMOVED FOR THIS FLIGHT, 961.55, 17.25, 17.00
8:4:22, 27, 440.94, REMOVED FOR THIS FLIGHT, 961.53, 17.25, 16.94
8:5:23, 18, 441.25, REMOVED FOR THIS FLIGHT, 961.50, 17.25, 16.94
8:6:23, 29, 441.38, REMOVED FOR THIS FLIGHT, 961.51, 17.25, 16.87
8:7:24, 28, 441.69, REMOVED FOR THIS FLIGHT, 961.49, 17.25, 16.87
8:8:24, 37, 441.75, REMOVED FOR THIS FLIGHT, 961.47, 17.25, 16.87
8:9:25, 26, 441.44, REMOVED FOR THIS FLIGHT, 961.47, 17.00, 16.87
8:10:25, 20, 441.56, REMOVED FOR THIS FLIGHT, 961.44, 17.00, 16.81
8:11:26, 32, 441.75, REMOVED FOR THIS FLIGHT, 961.48, 17.00, 16.81
8:12:26, 28, 441.06, REMOVED FOR THIS FLIGHT, 961.47, 17.00, 16.81
8:13:27, 28, 442.31, REMOVED FOR THIS FLIGHT, 961.37, 17.00, 16.81
8:14:27, 27, 442.38, REMOVED FOR THIS FLIGHT, 961.40, 17.00, 16.81
8:15:28, 29, 442.50, REMOVED FOR THIS FLIGHT, 961.34, 17.00, 16.81
8:16:28, 27, 468.75, REMOVED FOR THIS FLIGHT, 958.16, 17.00, 16.75
8:17:29, 15, 741.56, REMOVED FOR THIS FLIGHT, 927.26, 17.00, 16.75
8:18:29, 17, 1021.56, REMOVED FOR THIS FLIGHT, 896.37, 17.00, 16.69
8:19:30, 15, 1258.31, REMOVED FOR THIS FLIGHT, 870.91, 17.00, 16.69
8:20:30, 16, 1510.88, REMOVED FOR THIS FLIGHT, 844.46, 17.00, 16.62
8:21:31, 25, 1777.31, REMOVED FOR THIS FLIGHT, 817.07, 17.00, 16.62
8:22:32, 15, 2060.31, REMOVED FOR THIS FLIGHT, 788.90, 16.75, 16.56
8:23:32, 26, 2323.69, REMOVED FOR THIS FLIGHT, 763.54, 16.75, 16.50
8:24:33, 20, 2601.56, REMOVED FOR THIS FLIGHT, 737.36, 16.75, 16.44
8:25:33, 29, 2894.94, REMOVED FOR THIS FLIGHT, 710.50, 16.50, 16.31
8:26:34, 29, 3150.31, REMOVED FOR THIS FLIGHT, 687.78, 16.50, 16.25
8:27:34, 28, 3444.37, REMOVED FOR THIS FLIGHT, 662.33, 16.50, 16.12
8:28:35, 33, 3720.44, REMOVED FOR THIS FLIGHT, 639.19, 16.25, 16.00
8:29:35, 36, 3989.19, REMOVED FOR THIS FLIGHT, 617.22, 16.00, 15.88
8:30:36, 44, 4245.75, REMOVED FOR THIS FLIGHT, 596.88, 16.00, 15.69
8:31:36, 45, 4528.69, REMOVED FOR THIS FLIGHT, 575.04, 15.75, 15.50
8:32:37, 58, 4813.44, REMOVED FOR THIS FLIGHT, 553.80, 15.50, 15.38
8:33:37, 62, 5078.12, REMOVED FOR THIS FLIGHT, 534.49, 15.25, 15.13
8:34:38, 63, 5371.50, REMOVED FOR THIS FLIGHT, 513.78, 15.25, 14.88
8:35:38, 92, 5632.75, REMOVED FOR THIS FLIGHT, 495.94, 15.00, 14.69
8:36:39, 88, 5924.87, REMOVED FOR THIS FLIGHT, 476.47, 14.75, 14.38
8:37:39, 77, 6171.25, REMOVED FOR THIS FLIGHT, 460.51, 14.25, 14.06
8:38:40, 108, 6443.25, REMOVED FOR THIS FLIGHT, 443.44, 14.00, 13.75
8:39:41, 97, 6711.56, REMOVED FOR THIS FLIGHT, 427.04, 13.50, 13.38
8:40:41, 106, 6997.62, REMOVED FOR THIS FLIGHT, 410.08, 13.25, 13.00
8:41:42, 118, 7283.62, REMOVED FOR THIS FLIGHT, 393.62, 12.75, 12.56
8:42:42, 152, 7546.62, REMOVED FOR THIS FLIGHT, 378.97, 12.25, 12.13
8:43:43, 152, 7802.50, REMOVED FOR THIS FLIGHT, 365.14, 11.75, 11.69
8:44:43, 161, 8081.56, REMOVED FOR THIS FLIGHT, 350.37, 11.25, 11.19
8:45:44, 180, 8357.00, REMOVED FOR THIS FLIGHT, 336.23, 10.75, 10.69
8:46:44, 206, 8599.75, REMOVED FOR THIS FLIGHT, 324.12, 10.00, 10.13
8:47:45, 225, 8820.69, REMOVED FOR THIS FLIGHT, 313.38, 9.50, 9.56
8:48:45, 235, 9086.81, REMOVED FOR THIS FLIGHT, 300.74, 8.75, 9.00
