Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
8:49:22, 29, 506.75, 954.01, 15.25, 14.81
8:50:23, 91, 507.50, 953.92, 14.25, 13.75
8:51:23, 20, 507.56, 953.92, 14.25, 13.69
8:52:24, 18, 507.75, 953.85, 14.25, 13.69
8:53:24, 23, 507.44, 953.86, 14.25, 13.69
8:54:25, 19, 508.13, 953.84, 14.25, 13.63
8:55:25, 24, 508.00, 953.84, 14.25, 13.69
8:56:26, 28, 508.25, 953.87, 14.25, 13.69
8:57:26, 21, 507.38, 953.92, 14.25, 13.75
8:58:27, 20, 507.69, 953.93, 14.25, 13.81
8:59:27, 20, 506.69, 953.98, 14.50, 13.81
9:0:28, 23, 506.44, 954.00, 14.50, 13.88
9:1:28, 25, 506.56, 953.98, 14.50, 13.94
9:2:29, 20, 507.00, 953.97, 14.50, 14.00
9:3:29, 22, 506.75, 954.00, 14.75, 14.00
9:4:30, 23, 501.94, 953.39, 14.75, 14.06
9:5:30, 25, 505.94, 954.10, 14.75, 14.06
9:6:31, 19, 506.00, 954.09, 14.75, 14.13
9:7:32, 22, 506.19, 954.04, 14.75, 14.19
9:8:32, 27, 506.31, 954.08, 14.75, 14.25
9:9:33, 11, 506.44, 954.02, 15.00, 14.25
9:10:33, 20, 506.56, 953.97, 15.00, 14.31
9:11:34, 19, 506.63, 954.02, 15.00, 14.38
9:12:34, 20, 506.44, 953.99, 15.00, 14.44
9:13:35, 21, 506.19, 954.05, 15.25, 14.50
9:14:35, 21, 506.31, 954.02, 15.25, 14.56
9:15:36, 22, 506.38, 953.98, 15.25, 14.63
9:16:36, 27, 507.63, 953.85, 15.50, 14.69
9:17:37, 22, 507.50, 953.94, 15.50, 14.75
9:18:37, 29, 507.56, 953.92, 15.50, 14.81
9:19:38, 25, 512.63, 953.29, 15.75, 14.88
9:20:38, 16, 572.38, 946.36, 15.75, 14.94
9:21:39, 17, 838.38, 916.41, 15.50, 14.94
9:22:40, 13, 1191.94, 877.92, 15.50, 14.94
9:23:40, 19, 1486.63, 846.95, 15.50, 14.94
9:24:41, 24, 1726.06, 822.34, 15.50, 14.88
9:25:41, 24, 2004.75, 794.42, 15.50, 14.81
9:26:42, 24, 2276.12, 768.13, 15.25, 14.69
9:27:42, 13, 2539.31, 743.12, 15.00, 14.56
9:28:43, 29, 2827.19, 716.61, 14.75, 14.44
9:29:43, 31, 3096.44, 692.46, 14.75, 14.25
9:30:44, 30, 3379.81, 667.85, 14.50, 14.06
9:31:44, 29, 3678.56, 642.56, 14.25, 13.88
9:32:45, 40, 3947.81, 620.62, 14.00, 13.69
9:33:45, 53, 4182.56, 601.88, 13.75, 13.44
9:34:46, 36, 4413.25, 583.93, 13.50, 13.19
9:35:46, 43, 4660.31, 565.12, 13.25, 12.94
9:36:47, 55, 4894.19, 547.83, 12.75, 12.63
9:37:47, 49, 5176.75, 527.41, 12.50, 12.38
9:38:48, 58, 5455.94, 507.92, 12.25, 12.06
9:39:49, 67, 5700.37, 491.31, 11.75, 11.69
9:40:49, 77, 5975.44, 473.14, 11.50, 11.38
9:41:50, 95, 6232.37, 456.69, 11.50, 11.00
9:42:50, 88, 6512.69, 439.21, 11.00, 10.63
9:43:51, 106, 6771.56, 423.48, 10.50, 10.19
9:44:51, 125, 7031.62, 408.14, 10.25, 9.75
9:45:52, 159, 7321.94, 391.39, 9.75, 9.31
9:46:52, 146, 7644.06, 373.70, 9.25, 8.81
9:47:53, 177, 7947.81, 357.35, 8.75, 8.31
9:48:53, 194, 8224.19, 342.97, 8.25, 7.88
9:49:54, 206, 8508.00, 328.66, 7.50, 7.31
9:50:54, 214, 8804.25, 314.17, 7.00, 6.75
9:51:55, 241, 9101.25, 299.97, 6.50, 6.13
9:52:55, 242, 9365.81, 287.77, 5.75, 5.56
9:53:56, 277, 9616.75, 276.50, 5.00, 4.94
9:54:57, 285, 9856.37, 266.06, 4.50, 4.25
9:55:57, 306, 10056.25, 257.38, 3.75, 3.63
9:56:58, 354, 10249.37, 249.27, 3.25, 3.00
9:57:58, 326, 10421.81, 242.17, 2.50, 2.31
9:58:59, 360, 10603.75, 234.73, 1.75, 1.69
9:59:59, 392, 10809.56, 226.58, 1.00, 1.00
10:1:0, 412, 11036.00, 217.70, 1.00, 0.25
10:2:1, 424, 11244.69, 209.74, 0.25, -0.44
10:3:1, 415, 11409.00, 203.51, 255.75, -1.06
